CHR	HOTSTART	HOTEND	COLDSTART	COLDEND
chr1	  5725734	  5732734	  5553734	  5560734
chr1	  5748734	  5751734	  5936734	  5939734
chr1	  5779734	  5789734	  5967734	  5977734
chr1	  5800734	  5806734	  6382734	  6388734
chr1	  5808734	  5812734	  5925734	  5929734
chr1	  5899734	  5903734	  5332627	  5336627
chr1	  5912734	  5916734	  5931734	  5935734
chr1	  6058734	  6064734	  6179734	  6185734
chr1	  6101734	  6105734	  6087734	  6091734
chr1	  6136734	  6145734	  5968734	  5977734
chr1	  6216734	  6222734	  6163734	  6169734
chr1	  6261734	  6275734	  6659734	  6673734
chr1	  6328734	  6337734	  6652734	  6661734
chr1	  6560734	  6564734	  6655734	  6659734
chr1	  6637734	  6644734	  6654734	  6661734
chr1	  6786734	  6798734	  6749734	  6761734
chr1	  7013734	  7016734	  7423734	  7426734
chr1	  7034734	  7041734	  7004734	  7011734
chr1	  7127734	  7131734	  7143734	  7147734
chr1	  7168734	  7174734	  7204734	  7210734
chr1	  7245734	  7250734	  7274734	  7279734
chr1	  7323734	  7326734	  7758734	  7761734
chr1	  7362734	  7366734	  5647734	  5651734
chr1	  7486734	  7491734	  7440734	  7445734
chr1	  7507734	  7513734	  7430734	  7436734
chr1	  7533734	  7537734	  7525734	  7529734
chr1	  7566734	  7570734	  5328627	  5332627
chr1	  7602734	  7611734	  7671734	  7680734
chr1	  7615734	  7618734	  7683734	  7686734
chr1	  7642734	  7646734	  7666734	  7670734
chr1	  7707734	  7711734	  7539734	  7543734
chr1	  7817734	  7823734	  7858734	  7864734
chr1	  7908734	  7913734	  7870734	  7875734
chr1	  7951734	  7956734	  7858734	  7863734
chr1	  7967734	  7971734	  8041734	  8045734
chr1	  8196734	  8206734	  8223734	  8233734
chr1	  8211734	  8217734	  8172734	  8178734
chr1	  8271734	  8275734	  3137843	  3141843
chr1	  8303734	  8308734	  8312734	  8317734
chr1	  8347734	  8352734	  8324734	  8329734
chr1	  8364734	  8372734	  8432734	  8440734
chr1	  8983734	  8990734	  8945734	  8952734
chr1	  9000734	  9005734	  8174734	  8179734
chr1	  9012734	  9017734	  8930734	  8935734
chr1	  9066734	  9070734	  7423734	  7427734
chr1	  9129734	  9144734	  9925734	  9940734
chr1	  9157734	  9162734	  9926734	  9931734
chr1	  9218734	  9234734	  9256734	  9272734
chr1	  9244734	  9249734	  9258734	  9263734
chr1	  9285734	  9292734	  9190734	  9197734
chr1	  9319734	  9328734	  9384734	  9393734
chr1	  9362734	  9368734	  9383734	  9389734
chr1	  9396734	  9415734	 10714734	 10733734
chr1	  9424734	  9433734	  9437734	  9446734
chr1	  9459734	  9479734	  9594734	  9614734
chr1	  9509734	  9512734	 10615734	 10618734
chr1	  9687734	  9692734	  9663734	  9668734
chr1	  9749734	  9768734	  9816734	  9835734
chr1	  9892734	  9899734	  9846734	  9853734
chr1	  9973734	  9978734	 10067734	 10072734
chr1	 10231734	 10237734	  9934734	  9940734
chr1	 10478734	 10485734	 10452734	 10459734
chr1	 10562734	 10567734	 10608734	 10613734
chr1	 10641734	 10644734	 12788734	 12791734
chr1	 10650734	 10655734	 10603734	 10608734
chr1	 10756734	 10768734	 10736734	 10748734
chr1	 10801734	 10815734	 10894734	 10908734
chr1	 10854734	 10879734	 10518734	 10543734
chr1	 10925734	 10936734	 10733734	 10744734
chr1	 10961734	 10969734	 10789734	 10797734
chr1	 10991734	 10996734	 10898734	 10903734
chr1	 11023734	 11033734	 11192734	 11202734
chr1	 11052734	 11056734	 11136734	 11140734
chr1	 11106734	 11112734	 10948734	 10954734
chr1	 11325734	 11328734	 11344734	 11347734
chr1	 11382734	 11390734	 11356734	 11364734
chr1	 11488734	 11494734	 11455734	 11461734
chr1	 11506734	 11510734	 11551734	 11555734
chr1	 11587734	 11590734	 11561734	 11564734
chr1	 11640734	 11660734	 11344734	 11364734
chr1	 11702734	 11714734	 10709734	 10721734
chr1	 11774734	 11780734	 11679734	 11685734
chr1	 11814734	 11824734	 11675734	 11685734
chr1	 11931734	 11934734	 11944734	 11947734
chr1	 11985734	 11991734	 12046734	 12052734
chr1	 12017734	 12024734	 12047734	 12054734
chr1	 12104734	 12116734	 12554734	 12566734
chr1	 12129734	 12136734	 11672734	 11679734
chr1	 12147734	 12158734	 11962734	 11973734
chr1	 12174734	 12181734	 11962734	 11969734
chr1	 12193734	 12202734	 11955734	 11964734
chr1	 12262734	 12269734	 12612734	 12619734
chr1	 12275734	 12280734	 12570734	 12575734
chr1	 12599734	 12604734	 12612734	 12617734
chr1	 12645734	 12653734	 12047734	 12055734
chr1	 12685734	 12690734	 12626734	 12631734
chr1	 12767734	 12771734	 12791734	 12795734
chr1	 12777734	 12780734	 13800694	 13803694
chr1	 12827734	 12835734	 12907734	 12915734
chr1	 12865734	 12899734	 12501734	 12535734
chr1	 13806694	 13814694	 13793694	 13801694
chr1	 13840694	 13844694	 13848694	 13852694
chr1	 13885694	 13907694	 14020694	 14042694
chr1	 13921694	 13934694	 14908694	 14921694
chr1	 13946694	 13951694	 13965694	 13970694
chr1	 14127694	 14131694	 13910694	 13914694
chr1	 14169694	 14172694	 14098694	 14101694
chr1	 14200694	 14208694	 14103694	 14111694
chr1	 14225694	 14229694	 14259694	 14263694
chr1	 14231694	 14235694	 14142694	 14146694
chr1	 14239694	 14243694	 14308694	 14312694
chr1	 14279694	 14282694	 14316694	 14319694
chr1	 14351694	 14357694	 14313694	 14319694
chr1	 14389694	 14394694	 14111694	 14116694
chr1	 14439694	 14445694	 14450694	 14456694
chr1	 14466694	 14469694	 14458694	 14461694
chr1	 14505694	 14509694	 14366694	 14370694
chr1	 14587694	 14592694	 14558694	 14563694
chr1	 14624694	 14629694	 14553694	 14558694
chr1	 14718694	 14722694	 14453694	 14457694
chr1	 14791694	 14795694	 14753694	 14757694
chr1	 14847694	 14851694	 14861694	 14865694
chr1	 14875694	 14884694	 14910694	 14919694
chr1	 14889694	 14894694	 14929694	 14934694
chr1	 14958694	 14962694	 15023694	 15027694
chr1	 14993694	 14998694	 15005694	 15010694
chr1	 15056694	 15060694	 15028694	 15032694
chr1	 15090694	 15101694	 15006694	 15017694
chr1	 15151694	 15156694	 15205694	 15210694
chr1	 15180694	 15184694	 15518694	 15522694
chr1	 15211694	 15217694	 15286694	 15292694
chr1	 15258694	 15266694	 15285694	 15293694
chr1	 15271694	 15275694	 15294694	 15298694
chr1	 15309694	 15313694	 15288694	 15292694
chr1	 15320694	 15326694	 15396694	 15402694
chr1	 15335694	 15340694	 15351694	 15356694
chr1	 15370694	 15374694	 15357694	 15361694
chr1	 15423694	 15427694	 15399694	 15403694
chr1	 15555694	 15559694	 15593694	 15597694
chr1	 15568694	 15573694	 15524694	 15529694
chr1	 15616694	 15622694	 15655694	 15661694
chr1	 15660694	 15675694	 15704694	 15719694
chr1	 15684694	 15688694	 15833694	 15837694
chr1	 15743694	 15750694	 15716694	 15723694
chr1	 15778694	 15783694	 15844694	 15849694
chr1	 15788694	 15799694	 15831694	 15842694
chr1	 16049694	 16055694	 17889694	 17895694
chr1	 16074694	 16087694	 16319694	 16332694
chr1	 16123694	 16127694	 16348694	 16352694
chr1	 16378694	 16381694	 15395694	 15398694
chr1	 16512694	 16516694	 16521694	 16525694
chr1	 16731694	 16737694	 16331694	 16337694
chr1	 16758694	 16765694	 16771694	 16778694
chr1	 16803694	 16821694	 16707694	 16725694
chr1	 17428694	 17432694	 17253694	 17257694
chr1	 17494694	 17498694	 17587694	 17591694
chr1	 17538694	 17542694	 17572694	 17576694
chr1	 17554694	 17557694	 17576694	 17579694
chr1	 17596694	 17600694	 17833694	 17837694
chr1	 17675694	 17680694	 17736694	 17741694
chr1	 17873694	 17877694	 17755694	 17759694
chr1	 17917694	 17920694	 17998694	 18001694
chr1	 18041694	 18047694	 17998694	 18004694
chr1	 18047694	 18052694	 18141694	 18146694
chr1	 18104694	 18112694	 17756694	 17764694
chr1	 18179694	 18184694	 18077694	 18082694
chr1	 18207694	 18213694	 18235694	 18241694
chr1	 18262694	 18266694	 18237694	 18241694
chr1	 18321694	 18324694	 18306694	 18309694
chr1	 18426694	 18429694	 18443694	 18446694
chr1	 18484694	 18491694	 18538694	 18545694
chr1	 18510694	 18515694	 18541694	 18546694
chr1	 18565694	 18578694	 18589694	 18602694
chr1	 18605694	 18611694	 18590694	 18596694
chr1	 18621694	 18637694	 18936694	 18952694
chr1	 18658694	 18664694	 18740694	 18746694
chr1	 18702694	 18705694	 18251694	 18254694
chr1	 18730694	 18733694	 18738694	 18741694
chr1	 18765694	 18768694	 18803694	 18806694
chr1	 18832694	 18836694	 18225694	 18229694
chr1	 18868694	 18874694	 18936694	 18942694
chr1	 18903694	 18907694	 18887694	 18891694
chr1	 18999694	 19006694	 19011694	 19018694
chr1	 19029694	 19034694	 19019694	 19024694
chr1	 19040694	 19055694	 19704694	 19719694
chr1	 19056694	 19067694	 19013694	 19024694
chr1	 19100694	 19104694	 18988694	 18992694
chr1	 19111694	 19122694	 19148694	 19159694
chr1	 19129694	 19132694	 19322694	 19325694
chr1	 19175694	 19197694	 26215858	 26237858
chr1	 19237694	 19243694	 19011694	 19017694
chr1	 19378694	 19390694	 19709694	 19721694
chr1	 19635694	 19639694	 20005694	 20009694
chr1	 19645694	 19650694	 19621694	 19626694
chr1	 19678694	 19682694	 19695694	 19699694
chr1	 19806694	 19819694	 18978694	 18991694
chr1	 19973694	 19979694	 19997694	 20003694
chr1	 20024694	 20029694	 20093694	 20098694
chr1	 20057694	 20062694	 20256694	 20261694
chr1	 20105694	 20114694	 20201694	 20210694
chr1	 20138694	 20141694	 20497694	 20500694
chr1	 20248694	 20252694	 18471694	 18475694
chr1	 20280694	 20284694	 20262694	 20266694
chr1	 20302694	 20305694	 20629694	 20632694
chr1	 20434694	 20437694	 20395694	 20398694
chr1	 20464694	 20471694	 20640694	 20647694
chr1	 20501694	 20512694	 20687694	 20698694
chr1	 20553694	 20557694	 20637694	 20641694
chr1	 20582694	 20586694	 20402694	 20406694
chr1	 20604694	 20608694	 20589694	 20593694
chr1	 20733694	 20737694	 20898694	 20902694
chr1	 20761694	 20766694	 20784694	 20789694
chr1	 20882694	 20886694	 20976694	 20980694
chr1	 21008694	 21011694	 21643694	 21646694
chr1	 21583694	 21587694	 21641694	 21645694
chr1	 21590694	 21595694	 21631694	 21636694
chr1	 21656694	 21664694	 21706694	 21714694
chr1	 21669694	 21689694	 21863694	 21883694
chr1	 21733694	 21738694	 21777694	 21782694
chr1	 21755694	 21763694	 21604694	 21612694
chr1	 21820694	 21826694	 21869694	 21875694
chr1	 21844694	 21849694	 21866694	 21871694
chr1	 21899694	 21911694	 21875694	 21887694
chr1	 21973694	 21990694	 25044694	 25061694
chr1	 22003694	 22009694	 22030694	 22036694
chr1	 22140694	 22147694	 22314694	 22321694
chr1	 22178694	 22201694	 25354694	 25377694
chr1	 22344694	 22351694	 22394694	 22401694
chr1	 22476694	 22481694	 22435694	 22440694
chr1	 22491694	 22495694	 22544694	 22548694
chr1	 22587694	 22592694	 22568694	 22573694
chr1	 22593694	 22596694	 22568694	 22571694
chr1	 22614694	 22626694	 21798694	 21810694
chr1	 22649694	 22653694	 22568694	 22572694
chr1	 22735694	 22739694	 22705694	 22709694
chr1	 22862694	 22871694	 22691694	 22700694
chr1	 22908694	 22928694	 21049694	 21069694
chr1	 22967694	 22972694	 25292694	 25297694
chr1	 23025694	 23034694	 23216694	 23225694
chr1	 23084694	 23088694	 23056694	 23060694
chr1	 23181694	 23189694	 22703694	 22711694
chr1	 23290694	 23294694	 23052694	 23056694
chr1	 23549694	 23567694	 23509694	 23527694
chr1	 23707694	 23710694	 23995694	 23998694
chr1	 23713694	 23721694	 23777694	 23785694
chr1	 23825694	 23835694	 23983694	 23993694
chr1	 23884694	 23887694	 23857694	 23860694
chr1	 23906694	 23926694	 23978694	 23998694
chr1	 23938694	 23942694	 23990694	 23994694
chr1	 23966694	 23973694	 23989694	 23996694
chr1	 24387694	 24391694	 24381694	 24385694
chr1	 24420694	 24424694	 24467694	 24471694
chr1	 24489694	 24497694	 24453694	 24461694
chr1	 24506694	 24509694	 24392694	 24395694
chr1	 24524694	 24530694	 24553694	 24559694
chr1	 24542694	 24546694	 24555694	 24559694
chr1	 24574694	 24579694	 24599694	 24604694
chr1	 24640694	 24666694	 26403858	 26429858
chr1	 24796694	 24800694	 24841694	 24845694
chr1	 24875694	 24884694	 25050694	 25059694
chr1	 25012694	 25017694	 25035694	 25040694
chr1	 25183694	 25188694	 25297694	 25302694
chr1	 25222694	 25225694	 25291694	 25294694
chr1	 25260694	 25268694	 25366694	 25374694
chr1	 25305694	 25309694	 25335694	 25339694
chr1	 25397694	 25401694	 22977694	 22981694
chr1	 25422694	 25426694	 25387694	 25391694
chr1	 25471694	 25477694	 25452694	 25458694
chr1	 25506694	 25528694	 25042694	 25064694
chr1	 25906854	 25910854	 25977854	 25981854
chr1	 26001854	 26007854	 25932854	 25938854
chr1	 26067854	 26074854	 25977854	 25984854
chr1	 26109854	 26119854	 26090854	 26100854
chr1	 26255858	 26259858	 26316858	 26320858
chr1	 26385858	 26388858	 26428858	 26431858
chr1	 26479858	 26482858	 26499858	 26502858
chr1	 26525858	 26531858	 25373694	 25379694
chr1	 26714858	 26718858	 26599858	 26603858
chr1	 26744858	 26748858	 26769858	 26773858
chr1	 26897858	 26911858	 26588858	 26602858
chr1	 26980858	 26988858	 26946858	 26954858
chr1	 27365858	 27373858	 27720858	 27728858
chr1	 27395858	 27404858	 27419858	 27428858
chr1	 27536858	 27543858	 27581858	 27588858
chr1	 27696858	 27704858	 27729858	 27737858
chr1	 27838858	 27843858	 27857858	 27862858
chr1	 27980858	 27990858	 27730858	 27740858
chr1	 28209858	 28212858	 27942858	 27945858
chr1	 28260858	 28264858	 29754384	 29758384
chr1	 28278858	 28282858	 27942858	 27946858
chr1	 28419858	 28431858	 28328858	 28340858
chr1	 28453858	 28461858	 28543858	 28551858
chr1	 28508858	 28515858	 28525858	 28532858
chr1	 28573858	 28576858	 28215858	 28218858
chr1	 28627858	 28635858	 28659858	 28667858
chr1	 29107384	 29112384	 29122384	 29127384
chr1	 29179384	 29182384	 29157384	 29160384
chr1	 29580384	 29587384	 29613384	 29620384
chr1	 29630384	 29633384	 29531384	 29534384
chr1	 29681384	 29686384	 29538384	 29543384
chr1	 29715384	 29720384	 29616384	 29621384
chr1	 29735384	 29741384	 29614384	 29620384
chr1	 29764384	 29767384	 30207907	 30210907
chr1	 29783384	 29786384	 29754384	 29757384
chr1	 29793384	 29796384	 29758384	 29761384
chr1	 30159907	 30163907	 30478907	 30482907
chr1	 30173907	 30186907	 30824907	 30837907
chr1	 30242907	 30247907	 51436979	 51441979
chr1	 30275907	 30283907	 30827907	 30835907
chr1	 30368907	 30372907	 30632907	 30636907
chr1	 30400907	 30405907	 30478907	 30483907
chr1	 30471907	 30476907	 30946907	 30951907
chr1	 30517907	 30522907	 30713907	 30718907
chr1	 30523907	 30526907	 30632907	 30635907
chr1	 30576907	 30581907	 30569907	 30574907
chr1	 30588907	 30593907	 30561907	 30566907
chr1	 30607907	 30614907	 30551907	 30558907
chr1	 30664907	 30669907	 30832907	 30837907
chr1	 30677907	 30685907	 30963907	 30971907
chr1	 30742907	 30747907	 30952907	 30957907
chr1	 30791907	 30794907	 30857907	 30860907
chr1	 30889907	 30893907	 29750384	 29754384
chr1	 30986907	 30989907	 19090694	 19093694
chr1	 30995907	 30999907	 30976907	 30980907
chr1	 31060907	 31064907	 31039907	 31043907
chr1	 31114907	 31118907	 31100907	 31104907
chr1	 31163907	 31167907	 31151907	 31155907
chr1	 31219907	 31223907	 31231907	 31235907
chr1	 31255907	 31261907	 31235907	 31241907
chr1	 31314907	 31318907	 31333907	 31337907
chr1	 31362907	 31368907	 30558907	 30564907
chr1	 31567907	 31572907	 31552907	 31557907
chr1	 31638907	 31643907	 31613907	 31618907
chr1	 31685907	 31688907	 29751384	 29754384
chr1	 31700907	 31709907	 32092907	 32101907
chr1	 31901907	 31907907	 32075907	 32081907
chr1	 31942907	 31949907	 31922907	 31929907
chr1	 32009907	 32016907	 32093907	 32100907
chr1	 32035907	 32048907	 32078907	 32091907
chr1	 32151907	 32161907	 31290907	 31300907
chr1	 32264907	 32268907	 32188907	 32192907
chr1	 32321907	 32325907	 32347907	 32351907
chr1	 32436907	 32441907	 32275907	 32280907
chr1	 32715907	 32743907	 32624907	 32652907
chr1	 33062907	 33066907	 33086907	 33090907
chr1	 33166907	 33178907	 34078907	 34090907
chr1	 33214907	 33221907	 33426907	 33433907
chr1	 33447907	 33453907	 33469907	 33475907
chr1	 33593907	 33600907	 33472907	 33479907
chr1	 33754907	 33762907	 33712907	 33720907
chr1	 33919907	 33922907	 33902907	 33905907
chr1	 34020907	 34023907	 34008907	 34011907
chr1	 34056907	 34062907	 33969907	 33975907
chr1	 34181907	 34186907	 34080907	 34085907
chr1	 34219907	 34222907	 34274907	 34277907
chr1	 34245907	 34248907	 34205907	 34208907
chr1	 34348907	 34354907	 34461907	 34467907
chr1	 34426907	 34429907	 34458907	 34461907
chr1	 34473907	 34478907	 34461907	 34466907
chr1	 34535907	 34541907	 34583907	 34589907
chr1	 34614907	 34617907	 34822907	 34825907
chr1	 34619907	 34622907	 34759907	 34762907
chr1	 34634907	 34642907	 34592907	 34600907
chr1	 34647907	 34655907	 34584907	 34592907
chr1	 34675907	 34679907	 34786907	 34790907
chr1	 34725907	 34728907	 34493907	 34496907
chr1	 34797907	 34800907	 34825907	 34828907
chr1	 34885907	 34889907	 34912907	 34916907
chr1	 34937907	 34945907	 34910907	 34918907
chr1	 35039907	 35043907	 35082907	 35086907
chr1	 35059907	 35065907	 35077907	 35083907
chr1	 35115907	 35120907	 35301907	 35306907
chr1	 35191907	 35240907	 32607907	 32656907
chr1	 35257907	 35270907	 35393907	 35406907
chr1	 35311907	 35321907	 35075907	 35085907
chr1	 35365907	 35369907	 35027907	 35031907
chr1	 35378907	 35381907	 35297907	 35300907
chr1	 35632907	 35635907	 35651907	 35654907
chr1	 36168907	 36172907	 36197907	 36201907
chr1	 36583907	 36588907	 36554907	 36559907
chr1	 36660907	 36678907	 36346907	 36364907
chr1	 36855907	 36859907	 36912907	 36916907
chr1	 36927907	 36935907	 37103907	 37111907
chr1	 36937907	 36949907	 30212907	 30224907
chr1	 36988907	 36996907	 36910907	 36918907
chr1	 37018907	 37022907	 37111907	 37115907
chr1	 37039907	 37049907	 36816907	 36826907
chr1	 37076907	 37084907	 36900907	 36908907
chr1	 37192907	 37196907	 37173907	 37177907
chr1	 37300907	 37303907	 35302907	 35305907
chr1	 37317907	 37327907	 37432907	 37442907
chr1	 37401907	 37406907	 37442907	 37447907
chr1	 37416907	 37428907	 38518907	 38530907
chr1	 37546907	 37551907	 37500907	 37505907
chr1	 37606907	 37611907	 37643907	 37648907
chr1	 37656907	 37662907	 37963907	 37969907
chr1	 37781907	 37788907	 37823907	 37830907
chr1	 37813907	 37817907	 37835907	 37839907
chr1	 37891907	 37898907	 37874907	 37881907
chr1	 37947907	 37953907	 38074907	 38080907
chr1	 38091907	 38104907	 37736907	 37749907
chr1	 38142907	 38147907	 38163907	 38168907
chr1	 38196907	 38199907	 38540907	 38543907
chr1	 38465907	 38469907	 38513907	 38517907
chr1	 38556907	 38561907	 38541907	 38546907
chr1	 38601907	 38606907	 38575907	 38580907
chr1	 38678907	 38687907	 38634907	 38643907
chr1	 38729907	 38733907	 38633907	 38637907
chr1	 38870907	 38876907	 40186907	 40192907
chr1	 38910907	 38915907	 38961907	 38966907
chr1	 38930907	 38934907	 38800907	 38804907
chr1	 38943907	 38952907	 39010907	 39019907
chr1	 39038907	 39042907	 39083907	 39087907
chr1	 39045907	 39053907	 39098907	 39106907
chr1	 39144907	 39147907	 39130907	 39133907
chr1	 39205907	 39210907	 39228907	 39233907
chr1	 39266907	 39279907	 39230907	 39243907
chr1	 39283907	 39291907	 39235907	 39243907
chr1	 39384907	 39388907	 39352907	 39356907
chr1	 39430907	 39439907	 39411907	 39420907
chr1	 39547907	 39551907	 39620907	 39624907
chr1	 39939907	 39944907	 40005907	 40010907
chr1	 40088907	 40100907	 38075907	 38087907
chr1	 40158907	 40168907	 40068907	 40078907
chr1	 40196907	 40206907	 40334907	 40344907
chr1	 40287907	 40291907	 40345907	 40349907
chr1	 40439907	 40451907	 40407907	 40419907
chr1	 40542907	 40547907	 40525907	 40530907
chr1	 40762907	 40771907	 41918907	 41927907
chr1	 40824907	 40827907	 40801907	 40804907
chr1	 40889907	 40893907	 40855907	 40859907
chr1	 40934907	 40938907	 40976907	 40980907
chr1	 41049907	 41054907	 41009907	 41014907
chr1	 41084907	 41088907	 40971907	 40975907
chr1	 41247907	 41259907	 43776907	 43788907
chr1	 41285907	 41289907	 41918907	 41922907
chr1	 41317907	 41321907	 41371907	 41375907
chr1	 41347907	 41356907	 40967907	 40976907
chr1	 41415907	 41421907	 40971907	 40977907
chr1	 41451907	 41456907	 41373907	 41378907
chr1	 41743907	 41747907	 41793907	 41797907
chr1	 41828907	 41838907	 43825907	 43835907
chr1	 41849907	 41854907	 41920907	 41925907
chr1	 41879907	 41884907	 41793907	 41798907
chr1	 41972907	 41983907	 41919907	 41930907
chr1	 42101907	 42106907	 42074907	 42079907
chr1	 42170907	 42173907	 42081907	 42084907
chr1	 42269907	 42273907	 42224907	 42228907
chr1	 42352907	 42355907	 42216907	 42219907
chr1	 42505907	 42508907	 42076907	 42079907
chr1	 42628907	 42636907	 41928907	 41936907
chr1	 42800907	 42806907	 42698907	 42704907
chr1	 42836907	 42840907	 42850907	 42854907
chr1	 42880907	 42884907	 43632907	 43636907
chr1	 43299907	 43303907	 43281907	 43285907
chr1	 43364907	 43367907	 43349907	 43352907
chr1	 43395907	 43400907	 43414907	 43419907
chr1	 43457907	 43462907	 43666907	 43671907
chr1	 43687907	 43694907	 44044907	 44051907
chr1	 43698907	 43701907	 43416907	 43419907
chr1	 43756907	 43760907	 43741907	 43745907
chr1	 43948907	 43954907	 43789907	 43795907
chr1	 44484907	 44494907	 44427907	 44437907
chr1	 44585907	 44589907	 44564907	 44568907
chr1	 44854907	 44857907	 44909907	 44912907
chr1	 44869907	 44879907	 44713907	 44723907
chr1	 44891907	 44899907	 44905907	 44913907
chr1	 44933907	 44939907	 44928907	 44934907
chr1	 44962907	 44971907	 45115907	 45124907
chr1	 44990907	 44993907	 44923907	 44926907
chr1	 44998907	 45004907	 45035907	 45041907
chr1	 45061907	 45064907	 45032907	 45035907
chr1	 45080907	 45084907	 45117907	 45121907
chr1	 45161907	 45169907	 45037907	 45045907
chr1	 45509907	 45513907	 45035907	 45039907
chr1	 45764907	 45767907	 45760907	 45763907
chr1	 46020907	 46025907	 45976907	 45981907
chr1	 46896980	 46901980	 46956980	 46961980
chr1	 46926980	 46931980	 46962980	 46967980
chr1	 47089980	 47096980	 46968980	 46975980
chr1	 47209980	 47212980	 47117980	 47120980
chr1	 47480980	 47485980	 47774980	 47779980
chr1	 47593980	 47604980	 47525980	 47536980
chr1	 47640980	 47655980	 48139980	 48154980
chr1	 47706980	 47711980	 47820980	 47825980
chr1	 47854980	 47857980	 47890980	 47893980
chr1	 47938980	 47944980	 47907980	 47913980
chr1	 48000980	 48004980	 48018980	 48022980
chr1	 48044980	 48047980	 48035980	 48038980
chr1	 48060980	 48065980	 48129980	 48134980
chr1	 48094980	 48102980	 48181980	 48189980
chr1	 48211980	 48215980	 48081980	 48085980
chr1	 48220980	 48223980	 48251980	 48254980
chr1	 48420980	 48430980	 48633980	 48643980
chr1	 48480980	 48484980	 48400980	 48404980
chr1	 48519980	 48522980	 48565980	 48568980
chr1	 48537980	 48542980	 48496980	 48501980
chr1	 48551980	 48556980	 49111980	 49116980
chr1	 48668980	 48674980	 48563980	 48569980
chr1	 48976980	 48979980	 48967980	 48970980
chr1	 48999980	 49003980	 48957980	 48961980
chr1	 49066980	 49071980	 49104980	 49109980
chr1	 49081980	 49085980	 49106980	 49110980
chr1	 49150980	 49162980	 49108980	 49120980
chr1	 49181980	 49187980	 49106980	 49112980
chr1	 49213980	 49218980	 49041980	 49046980
